split,id,question_tokens,context_tokens
train,0,7,199667
train,1,8,199667
train,2,11,199667
train,3,12,199667
train,4,23,199667
train,5,11,199667
train,6,12,199667
train,7,12,199667
train,8,12,199667
train,9,14,199667
train,10,13,199667
train,11,8,199667
train,12,13,199667
train,13,10,199667
train,14,18,199667
train,15,14,199667
train,16,12,199667
train,17,16,199667
train,18,8,199667
train,19,13,199667
train,20,7,199667
train,21,8,199667
train,22,9,199667
train,23,9,199667
train,24,10,199667
train,25,9,199667
train,26,17,199667
train,27,8,199667
train,28,6,199667
train,29,14,132405
train,30,17,132405
train,31,9,132405
train,32,15,132405
train,33,20,132405
train,34,12,132405
train,35,15,132405
train,36,12,132405
train,37,11,132405
train,38,17,132405
train,39,10,132405
train,40,11,132405
train,41,17,132405
train,42,14,132405
train,43,18,132405
train,44,8,132405
train,45,21,132405
train,46,14,132405
train,47,11,132405
train,48,10,132405
train,49,15,132405
train,50,9,132405
train,51,10,132405
train,52,14,132405
train,53,11,132405
train,54,11,132405
train,55,13,132405
train,56,10,132405
train,57,10,132405
train,58,16,21359
train,59,18,21359
train,60,12,21359
train,61,13,21359
train,62,13,21359
train,63,17,21359
train,64,16,21359
train,65,17,21359
train,66,11,21359
train,67,9,21359
train,68,9,21359
train,69,10,21359
train,70,8,21359
train,71,9,21359
train,72,8,21359
train,73,9,21359
train,74,7,21359
train,75,9,21359
train,76,7,21359
train,77,11,21359
train,78,12,21359
train,79,18,21359
train,80,13,21359
train,81,19,21359
train,82,12,21359
train,83,14,21359
train,84,8,21359
train,85,13,21359
train,86,16,21359
train,87,17,21359
train,88,8,21359
train,89,14,21359
train,90,11,21359
train,91,15,21359
train,92,13,21359
train,93,9,21359
train,94,13,21359
train,95,14,21359
train,96,7,21359
train,97,11,21359
train,98,8,21359
train,99,9,21359
train,100,12,21359
train,101,6,21359
train,102,8,21359
train,103,10,21359
train,104,10,21359
train,105,11,21359
train,106,9,21359
train,107,9,21359
train,108,9,67610
train,109,12,67610
train,110,14,67610
train,111,15,67610
train,112,17,67610
train,113,6,67610
train,114,5,67610
train,115,21,67610
train,116,13,67610
train,117,7,67610
train,118,11,67610
train,119,16,67610
train,120,12,67610
train,121,11,67610
train,122,9,67610
train,123,13,67610
train,124,12,67610
train,125,17,67610
train,126,14,67610
train,127,20,67610
train,128,9,67610
train,129,10,67610
train,130,16,67610
train,131,11,67610
train,132,10,67610
train,133,18,67610
train,134,14,67610
train,135,11,67610
train,136,7,67610
train,137,9,67610
train,138,10,51583
