split,id,question_tokens,context_tokens
train,0,9,128348
train,1,10,221613
train,2,23,163517
train,3,11,574851
train,4,22,500130
train,5,25,186201
train,6,18,140498
train,7,13,137096
train,8,26,127043
train,9,12,133121
train,10,22,288105
train,11,13,574851
train,12,22,314900
train,13,16,308276
train,14,17,104524
train,15,23,223714
train,16,8,156379
train,17,32,163517
train,18,15,325757
train,19,25,178613
train,20,21,314900
train,21,24,270152
train,22,12,161970
train,23,12,171701
train,24,13,221122
train,25,15,99007
train,26,14,103955
train,27,19,157931
train,28,12,143472
train,29,12,138285
train,30,19,186492
train,31,33,279149
train,32,17,206060
train,33,17,143472
train,34,14,116216
train,35,15,144089
train,36,13,227546
train,37,21,166630
train,38,13,270152
train,39,16,554192
train,40,18,343678
train,41,23,122520
train,42,28,111515
train,43,23,133558
train,44,23,232175
train,45,20,302342
train,46,17,151806
train,47,24,599477
train,48,18,104527
train,49,35,64046
train,50,14,422047
train,51,20,108172
train,52,11,314900
train,53,18,189070
train,54,18,423781
train,55,17,207472
train,56,14,114608
train,57,24,110599
train,58,24,466112
train,59,20,56535
train,60,21,426647
train,61,25,170477
train,62,15,223714
train,63,14,154182
train,64,21,187341
train,65,24,429393
train,66,19,149379
train,67,20,177269
train,68,17,133587
train,69,26,270007
train,70,17,156568
train,71,15,185883
train,72,18,157145
train,73,18,288105
train,74,29,185538
train,75,11,624886
train,76,10,393264
train,77,21,386682
train,78,25,624886
train,79,16,108984
train,80,18,182928
train,81,15,212595
train,82,25,288105
train,83,22,160161
train,84,18,325757
train,85,10,146550
train,86,22,208422
train,87,20,98509
train,88,16,154182
train,89,14,426647
train,90,12,112889
train,91,22,148548
train,92,19,308276
train,93,25,130019
train,94,24,154182
train,95,9,104235
train,96,13,178262
train,97,17,281193
train,98,18,330935
train,99,26,379100
train,100,13,146642
train,101,21,136954
train,102,27,170477
train,103,12,183620
train,104,21,156568
train,105,18,291809
train,106,14,128348
train,107,8,74077
train,108,18,140754
train,109,17,205642
train,110,14,166886
train,111,19,624886
train,112,12,118347
train,113,19,183715
train,114,16,415396
train,115,15,128119
train,116,24,156371
train,117,16,193801
train,118,16,140739
train,119,19,377403
train,120,21,224862
train,121,36,185538
train,122,34,203750
train,123,26,466112
train,124,13,183715
train,125,21,215711
train,126,16,115266
train,127,13,253838
train,128,22,179284
train,129,28,160727
train,130,24,211062
train,131,18,343678
train,132,14,314900
train,133,19,138136
train,134,18,598903
train,135,13,204100
train,136,24,624886
train,137,18,330935
train,138,17,156568
train,139,23,199474
train,140,16,177988
train,141,19,181614
train,142,17,88252
train,143,15,193801
train,144,24,174185
train,145,18,574851
train,146,20,308276
train,147,23,345690
train,148,15,182855
train,149,16,151806
train,150,18,312951
train,151,24,143472
train,152,22,169460
train,153,20,183715
train,154,11,78257
train,155,13,145371
train,156,21,115975
train,157,20,308239
train,158,27,176460
train,159,33,135452
train,160,20,365390
train,161,21,165889
